ProjectID,ProjectType,ProjectLocation,ContractorCategory,ConstructionPhase,ProjectBudgetMillion,EstimatedDurationDays,WorkersAssigned,EquipmentUtilization,MaterialDelayDays,SupplierIssues,WeatherDisruptionDays,SafetyIncidents,InspectionFailures,ChangeRequests,CostOverrunPercent,ScheduleVarianceDays,QualityScore,SiteProductivityScore,ProjectDelayed
PRJ_124348,Commercial,Urban,Medium,Planning,55.21,347,202,41.17,6,1,5,2,2,4,26.29,45.56,56.95,77.16,Yes
PRJ_119475,Infrastructure,Semi-Urban,Large,Planning,128.6,256,418,51.86,5,0,6,1,1,1,3.59,6.33,81.29,70.12,No
PRJ_109289,Commercial,Rural,Large,Foundation,60.5,125,282,56.09,11,1,3,2,0,2,19.05,13.88,81.38,78.36,Yes
PRJ_111722,Road Construction,Semi-Urban,Medium,Foundation,107.69,281,57,92.88,10,2,7,0,2,3,0.0,15.03,82.08,66.14,No
PRJ_107690,Industrial,Urban,Large,Inspection,41.34,953,534,100.0,6,0,2,0,0,3,0.45,10.35,84.74,68.35,No
PRJ_112770,Residential,Semi-Urban,Small,Inspection,72.91,556,173,85.83,6,3,3,2,2,7,16.71,13.46,77.09,72.51,No
PRJ_104804,Residential,Rural,Large,Inspection,125.58,1268,772,100.0,7,3,5,0,1,5,0.0,-0.25,71.46,57.19,No
PRJ_107050,Road Construction,Urban,Large,Foundation,128.92,844,581,56.77,9,4,5,1,0,4,14.52,-0.45,80.92,85.76,Yes
PRJ_119736,Bridge Construction,Semi-Urban,Large,Inspection,92.8,1150,107,,3,1,8,1,0,2,10.93,15.0,77.48,59.5,Yes
PRJ_123374,Road Construction,Semi-Urban,Medium,Structural,68.54,269,548,30.46,8,5,10,1,0,3,17.27,43.7,69.65,58.48,Yes
PRJ_126350,Road Construction,Semi-Urban,Medium,Finishing,97.5,1383,251,65.4,3,3,3,2,0,3,13.02,-0.11,87.13,68.4,Yes
PRJ_129545,Residential,Rural,Small,Inspection,250.84,955,306,100.0,10,4,4,1,3,2,12.46,25.15,85.94,100.0,Yes
PRJ_122006,Commercial,Rural,Small,Inspection,197.0,302,661,100.0,6,4,4,2,0,0,24.02,12.81,78.2,77.24,Yes
PRJ_125841,Infrastructure,Urban,Medium,Inspection,99.6,238,108,57.87,7,5,5,5,3,3,11.5,24.86,77.3,86.62,Yes
PRJ_120371,Infrastructure,Semi-Urban,Small,Planning,120.8,1016,769,69.37,2,0,2,0,2,1,0.0,-9.45,82.92,87.04,No
PRJ_125660,Infrastructure,Semi-Urban,Medium,Finishing,128.42,316,205,91.0,6,6,2,0,3,0,0.73,32.35,64.29,62.52,No
PRJ_129632,Industrial,Semi-Urban,Medium,Planning,47.08,1397,252,73.6,9,1,4,2,3,7,25.87,13.47,91.45,53.87,Yes
PRJ_119352,Industrial,Rural,Large,Structural,39.56,975,223,79.68,4,4,5,0,3,2,18.02,30.07,89.65,75.76,No
PRJ_120771,Industrial,Rural,Medium,Inspection,136.87,1446,706,100.0,5,1,4,0,1,2,18.46,23.36,,83.49,No
PRJ_107631,Road Construction,Semi-Urban,Medium,Finishing,117.35,1498,302,84.7,5,3,2,2,2,2,17.06,-24.63,78.45,89.83,Yes
PRJ_115395,Industrial,Semi-Urban,Medium,Inspection,207.83,1249,76,61.41,5,1,8,3,1,3,0.0,8.28,76.79,71.9,Yes
PRJ_106353,Infrastructure,Urban,Medium,Finishing,,688,565,100.0,10,5,4,0,0,4,12.78,-8.4,66.88,80.2,No
PRJ_121000,Commercial,Semi-Urban,Small,Structural,25.8,776,446,49.45,7,0,3,1,2,7,8.99,25.53,100.0,79.63,Yes
PRJ_118505,Industrial,Urban,Medium,Inspection,38.19,1290,197,63.08,3,3,11,2,1,2,0.0,20.08,74.44,82.82,No
PRJ_126056,Residential,Semi-Urban,Medium,Planning,76.94,599,738,47.83,9,3,2,3,1,3,4.19,7.08,74.06,69.69,No
PRJ_105362,Industrial,Urban,Small,Inspection,90.78,283,665,100.0,5,1,3,0,3,6,4.88,7.14,78.85,74.84,Yes
PRJ_121091,Residential,Rural,Large,Finishing,184.67,505,137,70.13,5,2,4,2,2,1,0.0,22.12,74.93,57.35,No
PRJ_100649,Infrastructure,Semi-Urban,Large,Inspection,206.19,1158,729,84.22,5,1,5,2,2,3,24.05,2.68,91.18,82.11,No
PRJ_107002,Infrastructure,Urban,Small,Inspection,146.96,1405,341,69.89,7,3,6,0,4,1,12.03,26.14,91.17,70.37,Yes
PRJ_111931,Residential,Urban,Large,Structural,179.58,1100,563,53.72,11,0,6,3,6,1,7.65,-1.36,88.81,86.59,Yes
PRJ_117034,Road Construction,Urban,Large,Inspection,170.27,1496,84,65.25,2,1,4,0,0,0,6.3,48.75,69.76,,Yes
PRJ_103179,Industrial,Urban,Medium,Structural,112.09,1407,91,31.92,10,0,4,1,1,0,3.41,6.73,81.64,,No
PRJ_121587,Industrial,Semi-Urban,Small,Planning,71.67,1071,380,87.45,9,0,4,1,2,2,0.0,26.26,63.27,100.0,Yes
PRJ_129089,Industrial,Urban,Small,Foundation,80.35,107,585,66.79,5,3,5,2,1,5,0.0,2.15,69.92,97.93,Yes
PRJ_131121,Industrial,Urban,Small,Finishing,163.19,829,77,62.96,4,4,5,1,2,2,0.0,23.99,83.73,95.6,Yes
PRJ_119777,Commercial,Semi-Urban,Medium,Inspection,160.78,1483,34,72.7,4,1,7,1,2,1,0.0,33.66,56.54,78.11,No
PRJ_119458,Infrastructure,Urban,Small,Finishing,169.35,610,201,100.0,5,2,5,2,1,7,0.0,6.56,76.94,61.98,Yes
PRJ_117987,Residential,Semi-Urban,Large,Foundation,154.0,196,185,61.57,7,0,2,2,1,3,20.29,-12.44,76.59,66.52,Yes
PRJ_120978,Bridge Construction,Urban,Small,Structural,77.97,217,216,53.6,10,2,5,2,1,2,23.88,9.66,71.44,78.64,Yes
PRJ_128047,Residential,Semi-Urban,Medium,Finishing,147.39,290,196,91.54,8,5,6,1,0,4,24.89,18.08,62.34,81.05,Yes
PRJ_122903,Residential,Urban,Medium,Finishing,54.15,870,539,57.16,10,1,3,2,2,4,5.94,27.87,63.88,77.0,Yes
PRJ_123348,Infrastructure,Urban,Medium,Foundation,65.03,609,520,100.0,7,2,5,2,3,3,25.28,14.07,74.98,83.46,Yes
PRJ_128117,Infrastructure,Semi-Urban,Medium,Finishing,100.15,1493,687,54.95,13,1,4,0,2,2,6.84,-14.69,94.97,73.12,No
PRJ_126882,Residential,Semi-Urban,Medium,Foundation,169.55,1218,99,82.1,7,0,3,0,2,1,2.09,48.69,70.29,68.29,Yes
PRJ_117767,Road Construction,Urban,Large,Inspection,102.77,794,426,83.21,5,2,4,1,1,3,0.62,-0.06,77.57,88.22,No
PRJ_124406,Infrastructure,Urban,Medium,Foundation,97.13,782,319,74.17,6,1,8,2,2,0,9.64,37.61,76.44,85.87,Yes
PRJ_105004,Industrial,Urban,Medium,Finishing,186.61,1360,250,62.42,7,3,3,1,3,4,21.36,19.3,89.57,66.47,Yes
PRJ_107436,Bridge Construction,Semi-Urban,Small,Structural,75.69,1372,560,57.26,5,1,3,0,1,3,24.78,18.86,94.41,90.77,No
PRJ_114142,Bridge Construction,Semi-Urban,Large,Finishing,132.3,1394,634,46.46,11,3,3,1,2,7,0.0,23.15,80.06,67.68,Yes
PRJ_100692,Bridge Construction,Rural,Large,Foundation,58.38,300,468,52.07,14,2,5,0,1,2,11.61,23.8,74.38,58.87,Yes
PRJ_107185,commercial,Semi-Urban,Small,Finishing,103.49,1195,520,53.25,4,1,8,1,1,4,3.35,10.7,97.66,98.54,No
PRJ_111274,Residential,Rural,Medium,Inspection,90.95,208,723,69.75,5,0,8,2,2,1,0.0,15.47,88.67,68.0,Yes
PRJ_109065,Industrial,Semi-Urban,Medium,Planning,184.69,306,798,74.57,4,2,6,3,4,2,0.0,-1.15,87.34,76.5,Yes
PRJ_119615,Residential,Semi-Urban,Medium,Foundation,98.71,1136,466,90.95,3,2,10,2,0,2,11.61,-23.26,76.29,84.09,Yes
PRJ_121966,Road Construction,Semi-Urban,Medium,Inspection,84.1,330,431,72.9,10,0,1,1,0,2,19.51,12.98,83.88,86.12,Yes
PRJ_101472,Infrastructure,Urban,Large,Inspection,193.31,375,38,84.59,5,2,7,2,3,2,17.71,2.75,70.88,82.31,Yes
PRJ_121322,Industrial,Rural,Large,Planning,183.19,1180,285,68.71,3,2,2,2,2,6,10.84,8.47,83.09,56.46,Yes
PRJ_119312,Infrastructure,Urban,Large,Planning,193.61,1386,232,75.97,5,1,7,1,1,2,19.51,47.83,95.38,59.33,No
PRJ_107965,Commercial,Semi-Urban,Medium,Planning,271.16,580,756,44.67,14,3,7,0,6,6,5.14,10.92,63.64,66.43,Yes
PRJ_131588,Infrastructure,Urban,Medium,Inspection,161.98,692,783,33.98,5,1,8,1,0,2,0.0,2.05,77.23,76.2,Yes
PRJ_114624,Commercial,Rural,Medium,Inspection,172.04,723,761,,7,2,8,1,2,3,3.94,11.5,73.39,71.35,Yes
PRJ_101996,Residential,Urban,Medium,Planning,63.46,1278,66,72.2,9,1,7,2,2,4,6.67,0.47,89.74,88.97,Yes
PRJ_108874,Residential,Urban,Medium,Planning,5.0,288,435,89.46,4,4,4,1,3,2,20.25,18.2,85.52,81.88,Yes
PRJ_104568,Industrial,Urban,Large,Inspection,133.65,1350,530,87.66,8,2,4,1,2,3,10.69,41.88,69.85,67.92,Yes
PRJ_103882,Industrial,Semi-Urban,Medium,Planning,107.16,553,599,78.09,9,1,9,0,1,7,22.02,20.31,95.12,65.06,Yes
PRJ_101530,Commercial,Urban,Medium,Structural,175.05,196,156,83.87,5,1,4,4,2,2,0.0,1.44,90.07,100.0,No
PRJ_127017,Bridge Construction,Urban,Large,Foundation,74.59,294,504,56.21,7,3,11,1,0,4,9.85,32.82,85.64,66.79,Yes
PRJ_118131,Bridge Construction,Semi-Urban,Large,Structural,142.92,391,695,91.33,2,1,8,1,2,3,14.18,-19.25,99.74,63.57,Yes
PRJ_119194,Commercial,Urban,Medium,Inspection,123.93,1230,165,24.02,10,1,3,1,1,2,6.27,7.89,75.64,74.99,Yes
PRJ_131428,Infrastructure,Urban,Medium,Structural,101.63,1311,127,38.0,9,4,3,0,0,0,8.37,2.68,77.06,55.5,No
PRJ_118727,Infrastructure,Urban,Small,Foundation,88.95,1465,283,89.46,4,4,5,0,2,2,4.52,6.97,88.31,100.0,Yes
PRJ_127342,Industrial,Urban,Medium,Finishing,217.47,1461,535,87.55,6,2,4,1,4,3,16.31,5.12,75.68,98.87,Yes
PRJ_119218,Industrial,Rural,Medium,Finishing,121.62,428,596,53.85,3,3,7,0,2,3,9.81,5.43,81.99,72.17,Yes
PRJ_113086,Residential,Rural,Medium,Foundation,11.21,188,374,66.39,3,2,3,1,3,4,0.0,15.15,69.58,75.21,No
PRJ_112952,Bridge Construction,Rural,Small,Finishing,203.02,115,543,58.55,7,0,0,2,1,5,22.9,30.76,90.42,90.46,No
PRJ_107097,Commercial,Urban,Large,Planning,221.61,1178,440,68.37,5,3,3,1,2,1,6.0,-16.12,61.22,83.7,Yes
PRJ_109931,Infrastructure,Rural,Medium,Inspection,5.0,1268,702,66.94,7,1,2,3,1,5,7.4,21.6,72.52,70.75,No
PRJ_118640,Infrastructure,Semi-Urban,Small,Planning,112.97,756,216,58.65,9,1,7,2,2,2,32.9,-34.22,73.29,64.65,Yes
PRJ_119015,Infrastructure,Semi-Urban,Medium,Inspection,211.27,706,545,42.83,5,2,3,1,2,6,3.4,36.82,87.79,60.48,No
PRJ_115081,Infrastructure,Rural,Medium,Planning,90.94,821,202,72.18,6,1,8,1,3,1,2.21,8.19,67.65,77.06,Yes
PRJ_115606,Infrastructure,Urban,Medium,Planning,114.9,1073,795,96.03,8,1,2,1,1,1,4.7,34.39,96.01,72.99,No
PRJ_131653,Bridge Construction,Rural,Medium,Foundation,109.94,1062,707,65.4,8,3,6,1,0,2,19.48,-11.34,82.66,71.66,Yes
PRJ_117864,Residential,Semi-Urban,Medium,Planning,86.02,1028,80,99.14,6,1,5,0,2,4,20.86,40.32,87.53,77.58,Yes
PRJ_102858,Commercial,urban,Small,Finishing,109.68,1058,61,66.26,7,1,5,1,1,2,0.0,35.78,85.35,76.83,No
PRJ_116157,Infrastructure,Semi-Urban,Medium,Finishing,142.62,1158,323,74.36,8,3,4,1,1,4,12.92,24.94,71.51,,Yes
PRJ_121932,Industrial,Semi-Urban,Large,Foundation,75.86,354,470,34.79,5,3,3,1,2,7,0.0,-37.74,67.09,83.96,Yes
PRJ_104395,Infrastructure,Urban,Medium,Foundation,85.22,399,663,72.95,8,1,8,1,3,3,14.21,13.48,90.53,67.01,No
PRJ_110273,Residential,Rural,Small,Finishing,118.34,738,425,94.39,6,3,5,1,3,2,8.13,9.76,88.81,,Yes
PRJ_106756,Bridge Construction,Urban,Medium,Planning,40.82,839,671,77.07,7,1,6,0,0,3,18.08,6.75,76.32,82.86,Yes
PRJ_108368,Commercial,Semi-Urban,Medium,Finishing,221.53,184,744,62.41,8,2,6,1,2,6,2.05,9.8,85.4,94.58,Yes
PRJ_120224,Commercial,Rural,Small,Finishing,271.05,1414,45,40.26,3,2,2,1,1,5,0.0,37.59,61.05,61.4,Yes
PRJ_109637,Industrial,Urban,Medium,Planning,136.84,627,264,49.05,3,0,4,1,0,3,6.04,43.16,70.68,96.1,No
PRJ_111701,Bridge Construction,Urban,Large,Inspection,149.9,1413,637,71.69,2,3,11,2,0,3,4.59,2.49,80.66,78.8,No
PRJ_118593,Road Construction,Urban,Medium,Structural,127.06,93,490,42.2,7,4,5,1,0,4,7.12,24.83,80.65,88.77,Yes
PRJ_121028,Industrial,Urban,Medium,Inspection,133.19,287,206,51.47,3,2,1,2,1,4,13.59,-9.62,82.29,94.11,No
PRJ_106899,Commercial,Urban,Medium,Structural,170.78,1371,566,69.72,10,0,4,1,1,4,10.98,59.53,82.3,60.35,No
PRJ_127143,Road Construction,Rural,Medium,Planning,76.15,266,529,78.03,6,3,5,0,1,5,6.26,13.02,77.63,84.87,No
PRJ_104858,Residential,Semi-Urban,Large,Inspection,135.41,1495,50,63.78,5,3,7,1,2,3,9.49,14.03,69.38,80.0,No
PRJ_107457,Industrial,Semi-Urban,Large,Finishing,63.73,1128,213,83.08,5,1,7,1,6,2,3.71,-18.77,88.69,75.98,No
PRJ_123375,Residential,Urban,Small,Planning,98.01,1207,704,76.55,5,2,6,3,1,2,5.93,22.05,85.66,79.11,No
PRJ_121511,Industrial,Urban,Medium,Structural,132.73,449,735,98.06,8,1,9,1,2,2,13.44,9.72,75.45,76.0,Yes
PRJ_110317,commercial,Semi-Urban,Small,Finishing,89.95,1039,574,51.59,5,2,3,1,1,0,2.95,-15.07,82.41,67.22,No
PRJ_100150,Road Construction,Urban,Medium,Structural,83.72,1049,87,72.12,5,1,3,0,1,2,14.19,7.19,91.88,61.58,No
PRJ_109654,Residential,Urban,Large,Planning,25.29,195,466,83.04,4,2,6,0,0,1,3.22,-14.68,62.98,72.5,No
PRJ_105633,Residential,Urban,Small,Inspection,37.94,276,152,75.64,5,2,4,0,2,2,21.7,17.0,92.22,73.66,No
PRJ_100235,Bridge Construction,Semi-Urban,Medium,Structural,178.98,366,641,75.75,9,2,10,1,2,4,11.6,23.76,73.64,69.29,No
PRJ_102658,Road Construction,Urban,Large,Foundation,147.42,158,490,58.49,8,1,6,0,1,4,5.94,23.76,69.28,74.18,Yes
PRJ_123760,Commercial,Urban,Medium,Foundation,,1436,711,94.28,8,3,7,0,0,3,13.96,17.17,68.25,85.1,Yes
PRJ_109451,Infrastructure,Semi-Urban,Small,Inspection,52.82,1359,470,52.63,6,1,7,0,2,4,20.0,33.93,60.62,87.94,Yes
PRJ_110968,Residential,Semi-Urban,Large,Finishing,119.25,1463,615,66.29,5,4,3,1,1,3,22.55,9.18,74.33,73.91,No
PRJ_105980,Bridge Construction,Urban,Small,Structural,92.33,1382,214,82.6,6,5,7,1,0,2,4.16,28.62,72.97,98.99,No
PRJ_131947,Infrastructure,Urban,Small,Finishing,17.59,577,59,53.47,4,3,5,0,2,1,14.89,2.7,83.06,96.53,Yes
PRJ_126144,Residential,Urban,Medium,Structural,127.57,478,785,60.01,2,0,6,0,0,3,19.28,-1.64,70.89,79.66,Yes
PRJ_115790,Infrastructure,Urban,Medium,Finishing,88.55,1254,343,41.66,7,1,4,2,2,2,0.0,24.29,86.75,65.45,No
PRJ_111058,Infrastructure,Semi-Urban,Small,Planning,128.53,1365,86,78.79,6,4,7,1,0,2,8.1,-29.93,88.27,74.94,No
PRJ_124257,Industrial,Urban,Small,Foundation,5.0,1482,409,83.42,6,3,7,1,1,2,0.0,14.96,82.94,80.09,Yes
PRJ_121520,Infrastructure,Rural,Medium,Finishing,73.05,560,492,75.04,6,0,6,2,1,2,0.0,26.05,71.85,75.59,Yes
PRJ_126755,Residential,Urban,Medium,Structural,158.12,595,384,38.26,6,3,8,2,2,4,3.62,13.77,85.52,87.31,Yes
PRJ_103991,Road Construction,Urban,Small,Structural,,1117,559,67.15,6,1,5,0,2,3,18.54,46.56,100.0,69.17,No
PRJ_119267,Bridge Construction,Urban,Medium,Planning,116.5,433,218,99.53,2,1,5,0,5,2,4.0,-50.0,85.4,70.2,Yes
PRJ_121546,Industrial,Urban,Large,Inspection,219.91,1319,391,70.61,10,1,6,0,1,3,11.92,-4.3,64.79,68.15,Yes
PRJ_127022,Residential,Semi-Urban,Small,Finishing,201.15,1181,24,40.82,7,3,4,1,1,4,4.49,3.1,73.9,71.75,No
PRJ_106121,Commercial,Semi-Urban,Medium,Foundation,127.75,442,39,56.3,7,1,5,0,1,1,0.0,17.91,70.83,87.42,No
PRJ_130313,Infrastructure,Rural,Large,Foundation,,524,418,69.61,6,5,3,1,2,2,9.3,4.7,94.0,68.15,No
PRJ_123111,Commercial,Urban,Small,Finishing,186.6,744,278,62.57,6,2,10,0,3,3,13.11,-11.31,98.85,70.93,Yes
PRJ_100236,Road Construction,Rural,Small,Inspection,214.52,1311,365,94.26,7,3,7,1,1,2,11.16,7.74,85.65,79.4,Yes
PRJ_128553,Road Construction,Urban,Medium,Structural,144.07,419,434,62.06,6,2,6,2,3,4,17.74,26.21,82.16,68.91,Yes
PRJ_123235,Industrial,Urban,Large,Foundation,,828,391,61.9,5,1,6,0,4,4,5.36,8.06,87.04,,No
PRJ_123408,Commercial,Urban,Small,Inspection,100.07,582,726,60.18,4,1,4,0,1,6,0.0,10.81,79.22,84.34,Yes
PRJ_128268,Commercial,Semi-Urban,Medium,Planning,141.72,982,403,75.65,8,2,4,4,4,6,0.0,27.58,84.68,84.64,Yes
PRJ_110140,Infrastructure,Urban,Medium,Structural,129.92,955,487,57.99,4,2,6,0,1,4,9.64,20.31,69.77,96.53,Yes
PRJ_109086,Road Construction,Rural,Large,Planning,175.95,1056,280,63.23,6,1,4,0,3,5,0.0,21.74,78.83,60.28,Yes
PRJ_111195,Residential,Urban,Small,Structural,112.74,1456,554,69.58,8,6,1,1,2,2,2.0,19.15,79.92,84.78,Yes
PRJ_128415,Residential,Urban,Small,Structural,36.88,662,414,73.88,8,3,4,1,0,3,13.79,-5.11,84.56,89.79,No
PRJ_103299,Infrastructure,Urban,Medium,Foundation,62.36,112,656,68.36,8,2,4,0,2,1,19.54,-5.3,80.4,67.43,No
PRJ_106095,Industrial,Urban,Medium,Finishing,63.27,1296,59,72.69,8,4,6,1,1,3,2.53,33.1,87.97,75.85,No
PRJ_105039,Industrial,Urban,Medium,Inspection,144.97,223,779,84.81,5,3,7,0,2,4,13.08,-18.2,89.24,86.17,No
PRJ_111981,Bridge Construction,Urban,Medium,Inspection,189.27,1243,388,75.79,5,7,1,2,2,4,4.48,17.39,64.43,67.86,Yes
PRJ_102220,Residential,Semi-Urban,Medium,Planning,73.91,698,32,,4,3,4,1,0,2,0.0,27.47,100.0,91.72,Yes
PRJ_129850,Infrastructure,Rural,Medium,Planning,40.72,1403,460,61.14,0,5,7,1,2,1,0.0,41.44,92.26,89.68,No
PRJ_121454,Bridge Construction,urban,Medium,Inspection,75.49,1083,353,100.0,5,1,3,2,5,3,0.0,36.88,91.53,90.36,Yes
PRJ_111172,Road Construction,Urban,Small,Inspection,13.73,577,461,100.0,6,1,7,0,3,3,16.78,-2.81,58.6,62.68,Yes
PRJ_123708,Bridge Construction,urban,Medium,Inspection,5.0,1286,274,85.1,9,2,6,1,1,3,0.04,19.23,95.14,85.18,No
PRJ_108962,Residential,Semi-Urban,Medium,Foundation,61.76,1152,388,57.71,5,1,7,2,2,2,0.0,-24.11,66.76,64.92,No
PRJ_109989,Road Construction,Rural,Large,Structural,111.71,647,418,67.97,5,2,5,0,1,3,3.76,-5.86,71.51,76.62,No
PRJ_129514,Road Construction,Semi-Urban,Large,Finishing,221.44,546,352,72.87,1,1,4,1,3,2,4.14,-2.58,98.06,76.56,No
PRJ_111805,Infrastructure,Urban,Small,Finishing,113.49,342,761,59.94,10,0,3,0,0,2,9.65,37.54,74.71,66.94,Yes
PRJ_119799,Industrial,Urban,Medium,Inspection,26.02,686,516,68.57,5,0,4,2,1,6,27.57,-12.16,68.43,65.27,Yes
PRJ_127673,Road Construction,Semi-Urban,Small,Planning,58.28,1409,432,56.11,7,2,2,2,2,0,10.85,48.11,97.26,65.79,No
PRJ_103413,Residential,Semi-Urban,Medium,Structural,36.12,963,585,61.78,8,2,7,4,1,4,26.55,-10.53,78.65,78.82,Yes
PRJ_117379,Infrastructure,Urban,Medium,Finishing,106.82,330,691,34.55,3,6,0,0,1,1,0.0,-6.96,68.47,,No
PRJ_116491,Road Construction,Rural,Medium,Finishing,,1024,239,91.29,3,2,4,1,1,3,8.35,17.24,,79.98,Yes
PRJ_115180,Bridge Construction,Urban,Large,Planning,168.92,708,260,100.0,3,5,3,2,2,0,8.46,9.66,67.84,91.82,Yes
PRJ_115393,Infrastructure,Urban,Large,Foundation,206.92,139,328,49.99,1,3,2,1,3,3,0.0,0.66,88.11,93.01,No
PRJ_123386,Road Construction,Urban,Large,Structural,63.34,1215,390,60.95,5,1,5,1,3,3,5.46,31.14,89.14,76.56,No
PRJ_123102,Residential,Urban,Large,Foundation,74.31,1196,147,70.61,8,6,7,3,4,3,9.37,40.77,77.57,75.46,Yes
PRJ_125304,Industrial,Semi-Urban,Medium,Foundation,146.32,1286,755,65.92,3,1,7,3,1,1,5.99,0.42,76.65,83.23,Yes
PRJ_125036,Commercial,Urban,Small,Planning,238.63,432,543,67.13,6,2,3,0,1,2,7.52,17.76,90.73,67.91,Yes
PRJ_118518,Infrastructure,Urban,Medium,Foundation,5.0,414,518,81.62,5,4,3,2,2,2,21.24,-20.8,67.96,81.89,Yes
PRJ_103730,Infrastructure,Urban,Medium,Finishing,135.64,638,485,84.76,7,1,5,2,3,3,0.0,-10.52,83.31,100.0,Yes
PRJ_102495,Commercial,Semi-Urban,Medium,Planning,189.52,176,291,51.83,7,3,2,0,0,6,9.71,-8.3,80.35,57.04,Yes
PRJ_128610,Industrial,Semi-Urban,Medium,Inspection,82.04,176,84,78.54,11,4,11,0,1,4,12.86,19.37,89.43,100.0,Yes
PRJ_131152,Commercial,Semi-Urban,Medium,Finishing,77.3,1434,657,95.09,7,3,3,0,1,2,18.32,-13.55,78.8,91.82,Yes
PRJ_113607,Commercial,Rural,Medium,Structural,125.04,484,193,70.96,2,2,5,0,2,6,20.14,13.12,86.64,73.2,Yes
PRJ_111501,Residential,Urban,Small,Planning,81.14,605,139,66.79,2,4,1,0,5,1,15.95,17.59,86.1,95.04,No
PRJ_100683,Commercial,Urban,Small,Finishing,89.06,1215,764,66.29,8,1,6,0,1,1,18.16,3.29,80.51,90.01,Yes
PRJ_124802,Residential,Semi-Urban,Large,Planning,154.14,1370,666,63.12,4,2,3,0,1,0,0.0,28.58,82.41,78.69,Yes
PRJ_126726,Road Construction,Urban,Medium,Inspection,102.28,1227,695,65.96,8,1,4,1,1,5,0.0,1.94,70.29,60.09,Yes
PRJ_101458,Infrastructure,Urban,Small,Finishing,136.75,1386,160,95.55,6,4,3,0,1,3,0.0,18.55,87.86,65.68,Yes
PRJ_102730,Road Construction,Urban,Small,Inspection,53.63,588,603,95.71,9,4,5,0,4,0,0.43,49.02,85.43,65.94,Yes
PRJ_126691,Industrial,Rural,Medium,Inspection,44.13,1305,629,63.84,4,5,5,2,2,4,14.66,21.49,91.52,93.16,Yes
PRJ_131141,Commercial,Urban,Medium,Planning,234.11,598,529,57.75,5,2,7,1,1,4,15.25,29.8,73.99,84.58,Yes
PRJ_120230,Road Construction,Urban,Small,Foundation,156.56,448,416,96.61,3,1,5,3,4,1,21.51,-7.03,92.36,78.04,No
PRJ_109191,Bridge Construction,Urban,Large,Structural,64.24,1312,105,56.64,8,1,4,1,1,2,7.8,24.93,80.09,62.39,No
PRJ_130617,Industrial,Rural,Medium,Foundation,109.96,1089,129,97.75,5,1,6,0,1,2,7.79,29.53,85.24,82.2,Yes
PRJ_123382,Industrial,Urban,Small,Inspection,170.0,968,529,75.41,6,0,4,1,0,2,0.0,-17.01,74.0,65.46,No
PRJ_120260,Commercial,Urban,Medium,Finishing,194.62,1097,161,78.1,8,0,2,0,0,3,0.0,-8.65,79.38,93.33,No
PRJ_129377,Bridge Construction,Rural,Small,Inspection,146.16,1234,147,79.23,6,4,2,3,2,0,22.15,38.11,64.25,81.62,Yes
PRJ_115758,Residential,Semi-Urban,Large,Foundation,176.57,653,778,73.63,8,2,4,0,1,1,13.32,2.34,74.93,85.17,No
PRJ_104597,Road Construction,Urban,Medium,Inspection,151.67,774,341,61.25,5,1,3,0,3,7,18.31,32.72,74.69,54.51,No
PRJ_129536,Industrial,Urban,Medium,Finishing,29.26,620,80,94.01,5,4,2,0,1,3,0.0,14.13,80.39,100.0,Yes
PRJ_124260,Industrial,Urban,Large,Foundation,150.77,1445,366,100.0,5,4,5,1,2,5,6.62,14.75,84.85,70.95,Yes
PRJ_100574,Road Construction,Rural,Medium,Inspection,43.14,1243,766,84.98,9,0,3,0,3,4,12.73,-3.3,90.08,80.62,No
PRJ_112020,Commercial,Semi-Urban,Medium,Foundation,81.18,1273,297,67.03,5,2,5,0,1,2,8.15,19.79,95.26,98.7,No
PRJ_127584,Road Construction,Urban,Small,Planning,157.71,878,586,52.76,5,3,5,1,2,2,9.57,36.88,76.16,62.36,No
PRJ_107522,Road Construction,Rural,Small,Structural,225.65,337,254,62.53,5,2,6,2,2,0,8.79,7.29,91.18,95.37,No
PRJ_124775,Road Construction,Semi-Urban,Small,Inspection,280.64,362,395,68.81,4,3,5,1,3,3,11.23,19.52,100.0,58.58,No
PRJ_120795,Residential,Rural,Large,Planning,228.63,1338,597,61.1,4,0,3,0,1,1,2.84,1.07,85.64,87.29,No
PRJ_107887,Infrastructure,Rural,Medium,Foundation,240.83,105,779,51.82,5,3,4,0,0,0,20.34,-4.46,88.3,71.09,No
PRJ_130360,Residential,Semi-Urban,Small,Inspection,70.56,798,182,54.93,5,0,6,2,2,0,1.39,44.54,67.7,79.99,No
PRJ_111892,Infrastructure,Semi-Urban,Small,Planning,125.2,932,279,100.0,3,6,5,1,0,1,0.0,3.56,73.82,90.39,No
PRJ_121763,Bridge Construction,Urban,Medium,Planning,166.51,516,286,57.12,10,2,5,2,1,4,7.1,8.29,94.37,81.11,Yes
PRJ_109039,Residential,Urban,Medium,Planning,21.68,1405,88,81.03,7,1,7,1,2,6,0.0,5.24,98.02,84.98,Yes
PRJ_131329,Road Construction,Semi-Urban,Medium,Structural,34.45,96,384,64.97,3,3,4,1,1,6,10.65,52.78,68.6,67.71,No
PRJ_118842,Road Construction,Urban,Large,Foundation,50.74,362,194,58.18,6,3,4,0,0,2,17.25,35.53,66.76,75.18,No
